#Species Name	Rabbit
Melomys_levipes	0
Melomys_lorentzii	0
Melomys_mollis	0
Melomys_moncktoni	0
Melomys_obiensis	0
Melomys_platyops	0
Melomys_rattoides	0
Melomys_rubex	0
Melomys_rubicola	0
Melomys_rufescens	0
Melomys_spechti	0
Uromys_anak	0
Uromys_caudimaculatus	0
Uromys_hadrourus	0
Uromys_neobritanicus	0
Uromys_rex	0
Zyzomys_argurus	0
Zyzomys_maini	0
Zyzomys_palatilis	0
Zyzomys_pedunculatus	0
Zyzomys_woodwardi	0
Leggadina_forresti	0
Leggadina_lakedownensis	0
Notomys_alexis	0
Notomys_aquilo	0
Notomys_cervinus	0
Notomys_fuscus	0
Notomys_mitchellii	0
Pseudomys_albocinereus	0
Pseudomys_apodemoides	0
Pseudomys_australis	0
Pseudomys_bolami	0
Pseudomys_chapmani	0
Pseudomys_delicatulus	0
Pseudomys_desertor	0
Pseudomys_fieldi	0
Pseudomys_fumeus	0
Pseudomys_fuscus	0
Pseudomys_glaucus	0
Pseudomys_gracilicaudatus	0
Pseudomys_hermannsburgensis	0
Pseudomys_higginsi	0
Pseudomys_johnsoni	0
Pseudomys_laborifex	0
Pseudomys_nanus	0
Pseudomys_novaehollandiae	0
Pseudomys_occidentalis	0
Pseudomys_oralis	0
Pseudomys_patrius	0
Pseudomys_pilligaensis	0
Pseudomys_praeconis	0
Pseudomys_shortridgei	0
Cremnomys_blanfordi	0
Cremnomys_cutchicus	0
Cremnomys_elvira	0
Millardia_gleadowi	0
Millardia_kathleenae	0
Millardia_kondana	0
Millardia_meltada	0
Dacnomys_millardi	0
Dasymys_foxi	0
Dasymys_incomtus	0
Dasymys_montanus	0
Dasymys_nudipes	0
Dasymys_rufulus	0
Dephomys_defua	0
Dephomys_eburnea	0
Hybomys_basilii	0
Hybomys_eisentrauti	0
Hybomys_lunaris	0
Hybomys_planifrons	0
Hybomys_trivirgatus	0
Hybomys_univittatus	0
Hydromys_chrysogaster	0
Hydromys_habbema	0
Hydromys_hussoni	0
Hydromys_neobrittanicus	0
Hydromys_shawmayeri	0
Xeromys_myoides	0
Desmomys_harringtoni	0
Diomys_crumpi	0
Diplothrix_legatus	0
Echiothrix_leucura	0
Margaretamys_beccarii	0
Margaretamys_elegans	0
Margaretamys_parvus	0
Melasmothrix_naso	0
Tateomys_macrocercus	0
Tateomys_rhinogradoides	0
Eropeplus_canus	0
Lenomys_meyeri	0
Golunda_ellioti	0
Grammomys_aridulus	0
Grammomys_buntingi	0
Grammomys_caniceps	0
Grammomys_cometes	0
Grammomys_dolichurus	0
Grammomys_dryas	0
Grammomys_gigas	0
Grammomys_ibeanus	0
Grammomys_macmillani	0
Grammomys_minnae	0
Grammomys_rutilans	0
Thallomys_loringi	0
Thallomys_nigricauda	0
Thallomys_paedulcus	0
Thallomys_shortridgei	0
Hadromys_humei	0
Heimyscus_fumosus	0
Hylomyscus_aeta	0
Hylomyscus_alleni	0
Hylomyscus_baeri	0
Hylomyscus_carillus	0
Hylomyscus_denniae	0
Hylomyscus_parvus	0
Hylomyscus_stella	0
Kadarsanomys_sodyi	0
Komodomys_rintjanus	0
Papagomys_armandvillei	0
Lamottemys_okuensis	0
Oenomys_hypoxanthus	0
Oenomys_ornatus	0
Thamnomys_kempi	0
Thamnomys_venustus	0
Lemniscomys_barbarus	0
Lemniscomys_bellieri	0
Lemniscomys_griselda	0
Lemniscomys_hoogstraali	0
Lemniscomys_linulus	0
Lemniscomys_macculus	0
Lemniscomys_mittendorfi	0
Lemniscomys_rosalia	0
Lemniscomys_roseveari	0
Lemniscomys_striatus	0
Lenothrix_canus	0
Leopoldamys_edwardsi	0
Leopoldamys_neilli	0
Leopoldamys_sabanus	0
Leopoldamys_siporanus	0
Malacomys_cansdalei	0
Malacomys_edwardsi	0
Malacomys_longipes	0
Malacomys_lukolelae	0
Malacomys_verschureni	0
Mastomys_angolensis	0
Mastomys_coucha	0
Mastomys_erythroleucus	0
Mastomys_hildebrandtii	0
Mastomys_natalensis	0
Mastomys_pernanus	0
Mastomys_shortridgei	0
Mastomys_verheyeni	0
Maxomys_alticola	0
Maxomys_baeodon	0
Maxomys_bartelsii	0
Maxomys_dollmani	0
Maxomys_hellwaldii	0
Maxomys_hylomyoides	0
Maxomys_inas	0
Maxomys_inflatus	0
Maxomys_moi	0
Maxomys_musschenbroekii	0
Maxomys_ochraceiventer	0
Maxomys_pagensis	0
Maxomys_panglima	0
Maxomys_rajah	0
Maxomys_surifer	0
Maxomys_wattsi	0
Maxomys_whiteheadi	0
Micromys_minutus	0
Muriculus_imberbis	0
Mus_crociduroides	0
Mus_famulus	0
Mus_mayori	0
Mus_pahari	0
Mus_vulcani	0
Mus_booduga	0
Mus_caroli	0
Mus_cervicolor	0
Mus_cookii	0
Mus_macedonicus	0
Mus_musculus	0
Mus_spicilegus	0
Mus_spretus	0
Mus_terricolor	0
Mus_baoulei	0
Mus_bufo	0
Mus_callewaerti	0
Mus_goundae	0
Mus_haussa	0
Mus_indutus	0
Mus_kasaicus	0
Mus_mahomet	0
Mus_mattheyi	0
Mus_minutoides	0
Mus_musculoides	0
Mus_neavei	0
Mus_orangiae	0
Mus_oubanguii	0
Mus_setulosus	0
Mus_setzeri	0
Mus_sorella	0
Mus_tenellus	0
Mus_triton	0
Mus_fernandoni	0
Mus_phillipsi	0
Mus_platythrix	0
Mus_saxicola	0
Mus_shortridgei	0
Mylomys_dybowskii	0
Pelomys_campanae	0
Pelomys_fallax	0
Pelomys_hopkinsi	0
Pelomys_isseli	0
Pelomys_minor	0
Myomys_albipes	0
Myomys_daltoni	0
Myomys_derooi	0
Myomys_fumatus	0
Myomys_ruppi	0
Myomys_verreauxii	0
Myomys_yemeni	0
Stenocephalemys_albocaudata	0
Stenocephalemys_griseicauda	0
Nesokia_bunnii	0
Nesokia_indica	0
Niviventer_andersoni	0
Niviventer_brahma	0
Niviventer_confucianus	0
Niviventer_coxingi	0
Niviventer_cremoriventer	0
Niviventer_culturatus	0
Niviventer_eha	0
Niviventer_excelsior	0
Niviventer_fulvescens	0
Niviventer_hinpoon	0
Niviventer_langbianis	0
Niviventer_lepturus	0
Niviventer_niviventer	0
Niviventer_rapit	0
Niviventer_tenaster	0
Otomys_anchietae	0
Otomys_angoniensis	0
Otomys_denti	0
Otomys_irroratus	0
Otomys_laminatus	0
Otomys_maximus	0
Otomys_occidentalis	0
Otomys_saundersiae	0
Otomys_sloggetti	0
Otomys_tropicalis	0
Otomys_typus	0
Otomys_unisulcatus	0
Parotomys_brantsii	0
Parotomys_littledalei	0
Palawanomys_furvus	0
Paruromys_dominator	0
Paruromys_ursinus	0
Phloeomys_cumingi	0
Phloeomys_pallidus	0
Pithecheir_melanurus	0
Pithecheir_parvus	0
Pogonomys_championi	0
Pogonomys_loriae	0
Pogonomys_macrourus	0
Pogonomys_sylvestris	0
Praomys_delectorum	0
Praomys_hartwigi	0
Praomys_jacksoni	0
Praomys_minor	0
Praomys_misonnei	0
Praomys_morio	0
Praomys_mutoni	0
Praomys_rostratus	0
Praomys_tullbergi	0
Rattus_colletti	0
Rattus_fuscipes	0
Rattus_hainaldi	0
Rattus_lutreolus	0
Rattus_sordidus	0
Rattus_timorensis	0
Rattus_tunneyi	0
Rattus_villosissimus	0
Rattus_elaphinus	0
Rattus_feliceus	0
Rattus_giluwensis	0
Rattus_jobiensis	0
Rattus_leucopus	0
Rattus_mordax	0
Rattus_morotaiensis	0
Rattus_novaeguineae	0
Rattus_praetor	0
Rattus_sanila	0
Rattus_steini	0
Rattus_annandalei	0
Rattus_enganus	0
Rattus_exulans	0
Rattus_hoogerwerfi	0
Rattus_korinchi	0
Rattus_montanus	0
Rattus_ranjiniae	0
Rattus_stoicus	0
Rattus_adustus	0
Rattus_argentiventer	0
Rattus_baluensis	0
Rattus_burrus	0
Rattus_everetti	0
Rattus_hoffmanni	0
Rattus_koopmani	0
Rattus_losea	0
Rattus_lugens	0
Rattus_mindorensis	0
Rattus_mollicomulus	0
Rattus_nitidus	0
Rattus_osgoodi	0
Rattus_palmarum	0
Rattus_rattus	0
Rattus_sikkimensis	0
Rattus_simalurensis	0
Rattus_tanezumi	0
Rattus_tawitawiensis	0
Rattus_tiomanicus	0
Rattus_turkestanicus	0
Rattus_norvegicus	0
Rattus_bontanus	0
Rattus_foramineus	0
Rattus_marmosurus	0
Rattus_pelurus	0
Rattus_xanthurus	0
Rhabdomys_pumilio	0
Srilankamys_ohiensis	0
Stenomys_ceramicus	0
Stenomys_niobe	0
Stenomys_richardsoni	0
Stenomys_vandeuseni	0
Stenomys_verecundus	0
Stochomys_longicaudatus	0
Sundamys_infraluteus	0
Sundamys_maxi	0
Sundamys_muelleri	0
Taeromys_arcuatus	0
Taeromys_callitrichus	0
Taeromys_celebensis	0
Taeromys_hamatus	0
Taeromys_punicans	0
Taeromys_taerae	0
Vandeleuria_nolthenii	0
Vandeleuria_oleracea	0
Vernaya_fulva	0
Zelotomys_hildegardeae	0
Zelotomys_woosnami	0
Abrawayaomys_ruschii	0
Aepeomys_fuscatus	0
Aepeomys_lugens	0
Thomasomys_aureus	0
Thomasomys_baeops	0
Thomasomys_bombycinus	0
Thomasomys_cinereiventer	0
Thomasomys_cinereus	0
Thomasomys_daphne	0
Thomasomys_eleusis	0
Thomasomys_gracilis	0
Thomasomys_hylophilus	0
Thomasomys_incanus	0
Thomasomys_ischyurus	0
Thomasomys_kalinowskii	0
Thomasomys_ladewi	0
Thomasomys_laniger	0
Thomasomys_monochromos	0
Thomasomys_niveipes	0
Thomasomys_notatus	0
Thomasomys_oreas	0
Thomasomys_paramorum	0
Thomasomys_pyrrhonotus	0
Thomasomys_rhoadsi	0
Thomasomys_rosalinda	0
Thomasomys_silvestris	0
Thomasomys_taczanowskii	0
Thomasomys_vestitus	0
Akodon_lanosus	0
Akodon_longipilis	0
Akodon_mansoensis	0
Akodon_sanborni	0
Akodon_hershkovitzi	0
Akodon_illuteus	0
Akodon_affinis	0
Akodon_albiventer	0
Akodon_azarae	0
Akodon_cursor	0
Akodon_fumeus	0
Akodon_iniscatus	0
Akodon_kofordi	0
Akodon_lindberghi	0
Akodon_markhami	0
Akodon_mollis	0
Akodon_olivaceus	0
Akodon_orophilus	0
Akodon_puer	0
Akodon_sanctipaulensis	0
Akodon_serrensis	0
Akodon_spegazzinii	0
Akodon_subfuscus	0
Akodon_surdus	0
Akodon_sylvanus	0
Akodon_torques	0
Akodon_urichi	0
Akodon_boliviensis	0
Akodon_juninensis	0
Akodon_dayi	0
Akodon_dolores	0
Akodon_molinae	0
Akodon_neocenus	0
Akodon_simulator	0
Akodon_toba	0
Akodon_varius	0
Akodon_xanthorhinus	0
Akodon_aerosus	0
Akodon_kempi	0
Akodon_budini	0
Akodon_siberiae	0
Akodon_bogotensis	0
Akodon_latebricola	0
Akodon_mimus	0
Akodon_nigrita	0
Chroeomys_andinus	0
Chroeomys_jelskii	0
Andalgalomys_olrogi	0
Andalgalomys_pearsoni	0
Auliscomys_boliviensis	0
Auliscomys_micropus	0
Auliscomys_pictus	0
Auliscomys_sublimis	0
Phyllotis_amicus	0
Phyllotis_andium	0
Phyllotis_bonaeriensis	0
Phyllotis_caprinus	0
Phyllotis_darwini	0
Phyllotis_definitus	0
Phyllotis_gerbillus	0
Phyllotis_haggardi	0
Phyllotis_magister	0
Phyllotis_osgoodi	0
Phyllotis_osilae	0
Phyllotis_wolffsohni	0
Phyllotis_xanthopygus	0
Graomys_domorum	0
Graomys_edithae	0
Graomys_griseoflavus	0
Andinomys_edax	0
Bibimys_chacoensis	0
Bibimys_labiosus	0
Bibimys_torresi	0
Kunsia_fronto	0
Kunsia_tomentosus	0
Scapteromys_tumidus	0
Blarinomys_breviceps	0
Bolomys_amoenus	0
Bolomys_lactens	0
Bolomys_lasiurus	0
Bolomys_obscurus	0
Bolomys_punctulatus	0
Bolomys_temchuki	0
Calomys_boliviae	0
Calomys_callidus	0
Calomys_callosus	0
Calomys_hummelincki	0
Calomys_laucha	0
Calomys_lepidus	0
Calomys_musculinus	0
Calomys_sorellus	0
Calomys_tener	0
Chelemys_macronyx	0
Chelemys_megalonyx	0
Chilomys_instans	0
Chinchillula_sahamae	0
Delomys_dorsalis	0
Delomys_sublineatus	0
Eligmodontia_moreni	0
Eligmodontia_morgani	0
Eligmodontia_puerulus	0
Eligmodontia_typus	0
Euneomys_chinchilloides	0
Euneomys_fossor	0
Euneomys_mordax	0
Euneomys_petersoni	0
Galenomys_garleppi	0
Geoxus_valdivianus	0
Holochilus_brasiliensis	0
Holochilus_chacarius	0
Holochilus_magnus	0
Holochilus_sciureus	0
Pseudoryzomys_simplex	0
Irenomys_tarsalis	0
Juscelinomys_candango	0
Juscelinomys_talpinus	0
Lenoxus_apicalis	0
Melanomys_caliginosus	0
Melanomys_robustulus	0
Melanomys_zunigae	0
Microryzomys_altissimus	0
Microryzomys_minutus	0
Neacomys_guianae	0
Neacomys_pictus	0
Neacomys_spinosus	0
Neacomys_tenuipes	0
Nectomys_palmipes	0
Nectomys_parvipes	0
Nectomys_squamipes	0
Neotomys_ebriosus	0
Nesoryzomys_fernandinae	0
Nesoryzomys_indefessus	0
Nesoryzomys_swarthi	0
Notiomys_edwardsii	0
Oecomys_bicolor	0
Oecomys_cleberi	0
Oecomys_concolor	0
Oecomys_flavicans	0
Oecomys_mamorae	0
Oecomys_paricola	0
Oecomys_phaeotis	0
Oecomys_rex	0
Oecomys_roberti	0
Oecomys_rutilus	0
Oecomys_speciosus	0
Oecomys_superans	0
Oecomys_trinitatis	0
Oligoryzomys_andinus	0
Oligoryzomys_arenalis	0
Oligoryzomys_chacoensis	0
Oligoryzomys_delticola	0
Oligoryzomys_destructor	0
Oligoryzomys_eliurus	0
Oligoryzomys_flavescens	0
Oligoryzomys_fulvescens	0
Oligoryzomys_griseolus	0
Oligoryzomys_longicaudatus	0
Oligoryzomys_magellanicus	0
Oligoryzomys_microtis	0
Oligoryzomys_nigripes	0
Oligoryzomys_vegetus	0
Oligoryzomys_victus	0
Oryzomys_albigularis	0
Oryzomys_alfaroi	0
Oryzomys_auriventer	0
Oryzomys_balneator	0
Oryzomys_bolivaris	0
Oryzomys_buccinatus	0
Oryzomys_capito	0
Oryzomys_chapmani	0
Oryzomys_couesi	0
Oryzomys_devius	0
Oryzomys_dimidiatus	0
Oryzomys_galapagoensis	0
Oryzomys_gorgasi	0
Oryzomys_hammondi	0
Oryzomys_intectus	0
Oryzomys_intermedius	0
Oryzomys_keaysi	0
Oryzomys_kelloggi	0
Oryzomys_lamia	0
Oryzomys_legatus	0
Oryzomys_levipes	0
Oryzomys_macconnelli	0
Oryzomys_melanotis	0
